Animal-Info
Bolivian chinchilla rat (Unknown) - Endangered [Worldwide]
Mantiqueira Atlantic tree-rat (Unknown) - Endangered [Worldwide]
Short-furred Atlantic tree-rat (Unknown) - Endangered [Worldwide]
Red-crested tree rat (Unknown) - Endangered [Worldwide]
Golden vizcacha rat (Unknown) - Endangered [Worldwide]
Chalchalero viscacha rat (Unknown) - Endangered [Worldwide]
Elvira rat (Unknown) - Endangered [Worldwide]
Ethiopian amphibious rat (possibly extinct) - Endangered [Worldwide]
Poncelet's giant rat (Unknown) - Endangered [Worldwide]
Muennink's spiny rat (Unknown) - Endangered [Worldwide]
Biak giant rat (Unknown) - Endangered [Worldwide]
Emma's giant rat (Unknown) - Endangered [Worldwide]
Emperor rat (possibly extinct) - Endangered [Worldwide]
Guadalcanal rat (possibly extinct) - Endangered [Worldwide]
Carpentarian rock rat (Unknown) - Endangered [Worldwide]
Central rock rat (Unknown) - Endangered [Worldwide]
Zuniga's dark rice rat (possibly extinct) - Endangered [Worldwide]
Nelson's woodrat (Unknown) - Endangered [Worldwide]
Chiapan climbing rat (possibly extinct) - Endangered [Worldwide]
Tumbala climbing rat (Unknown) - Endangered [Worldwide]
San Quintin kangaroo rat (Unknown) - Endangered [Worldwide]
Bathyergids (mole-rats) - Endangered [Worldwide]
"Cricetids (lemmings, voles, and New World rats and mice) - Endangered [Worldwide]"
Neotomines (deer mice and pack rats) - Endangered [Worldwide]
Sigmodontines (New World rats and mice) - Endangered [Worldwide]
Echimyids (Neotropical spiny rats) - Endangered [Worldwide]
Heteromyids (kangaroo rats and pocket mice) - Endangered [Worldwide]
"Murids (mice, rats, and gerbils) - Endangered [Worldwide]"
Deomyines (spiny mice and brush-furred rats) - Endangered [Worldwide]
Nesomyids (climbing mice and tufted-tailed rats) - Endangered [Worldwide]
Octodontids (degus and viscacha rats) - Endangered [Worldwide]
Spalacids (bamboo rats and blind mole-rats) - Endangered [Worldwide]

Conclusion
"When an animal disappears, a part of nature’s soul fades away forever."
